name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year,
arsala, (new earth),\/wiki\/arsala_(new_earth),secret identity,good characters,,black hair,female characters,,living characters,1,"1990, october",1990,
britton, (new earth),\/wiki\/britton_(new_earth),public identity,neutral characters,brown eyes,brown hair,male characters,,living characters,1,"1990, april",1990,
crissy, (new earth),\/wiki\/crissy_(new_earth),,neutral characters,,brown hair,female characters,,deceased characters,1,"1990, july",1990,
dan, (new earth),\/wiki\/dan_(new_earth),public identity,neutral characters,black eyes,,male characters,,living characters,1,"1990, may",1990,
dannel, (new earth),\/wiki\/dannel_(new_earth),public identity,good characters,,,male characters,,deceased characters,1,"1990, april",1990,
dyctinna, (new earth),\/wiki\/dyctinna_(new_earth),,good characters,,black hair,female characters,,living characters,1,"1990, november",1990,
elizabeth harkness, (new earth),\/wiki\/elizabeth_harkness_(new_earth),public identity,,,brown hair,female characters,,deceased characters,1,"1990, august",1990,
fatima, (new earth),\/wiki\/fatima_(new_earth),public identity,good characters,,,female characters,,living characters,1,"1990, july",1990,
front page, (new earth),\/wiki\/front_page_(new_earth),,bad characters,,,male characters,,living characters,1,"1990, october",1990,
infernus, (new earth),\/wiki\/infernus_(new_earth),,bad characters,,,male characters,,living characters,1,"1990, may",1990,
ismure, (new earth),\/wiki\/ismure_(new_earth),,good characters,,brown hair,female characters,,living characters,1,"1990, june",1990,
jake olsen, (new earth),\/wiki\/jake_olsen_(new_earth),public identity,good characters,,red hair,male characters,,living characters,1,"1990, january",1990,
janus, (new earth),\/wiki\/janus_(new_earth),,,,,male characters,,living characters,1,1990,1990,
jonathan hedley, (new earth),\/wiki\/jonathan_hedley_(new_earth),,neutral characters,,blond hair,male characters,,living characters,1,"1990, may",1990,
kylstar, (new earth),\/wiki\/kylstar_(new_earth),,bad characters,,,male characters,,living characters,1,"1990, october",1990,
lazer, (new earth),\/wiki\/lazer_(new_earth),public identity,good characters,,,male characters,,living characters,1,"1990, august",1990,
maia, (new earth),\/wiki\/maia_(new_earth),public identity,neutral characters,blue eyes,brown hair,female characters,,living characters,1,"1990, april",1990,
mara ii, (new earth),\/wiki\/mara_ii_(new_earth),public identity,good characters,,,male characters,,deceased characters,1,"1990, april",1990,
miss tribb, (new earth),\/wiki\/miss_tribb_(new_earth),public identity,neutral characters,red eyes,black hair,female characters,,living characters,1,"1990, november",1990,
morisca, (new earth),\/wiki\/morisca_(new_earth),public identity,good characters,brown eyes,red hair,female characters,,deceased characters,1,"1990, may",1990,
noor harjavti, (new earth),\/wiki\/noor_harjavti_(new_earth),public identity,bad characters,brown eyes,black hair,female characters,,living characters,1,"1990, august",1990,
pandora i, (new earth),\/wiki\/pandora_i_(new_earth),public identity,,blue eyes,black hair,female characters,,deceased characters,1,"1990, august",1990,
poet ii, (new earth),\/wiki\/poet_ii_(new_earth),,bad characters,brown eyes,blond hair,male characters,,living characters,1,"1990, april",1990,
rajar, (new earth),\/wiki\/rajar_(new_earth),public identity,good characters,black eyes,brown hair,male characters,,deceased characters,1,"1990, march",1990,
ronel, (new earth),\/wiki\/ronel_(new_earth),public identity,neutral characters,brown eyes,,male characters,,living characters,1,"1990, may",1990,
rutherford b. hayes, (new earth),\/wiki\/rutherford_b._hayes_(new_earth),,good characters,,brown hair,male characters,,living characters,1,"1990, april",1990,
slasher ii, (new earth),\/wiki\/slasher_ii_(new_earth),,bad characters,,,male characters,,living characters,1,"1990, march",1990,
stearn, (new earth),\/wiki\/stearn_(new_earth),public identity,good characters,blue eyes,white hair,male characters,,living characters,1,"1990, may",1990,
suula, (new earth),\/wiki\/suula_(new_earth),,neutral characters,,,female characters,,living characters,1,"1990, march",1990,
thorne, (new earth),\/wiki\/thorne_(new_earth),public identity,good characters,grey eyes,grey hair,male characters,,living characters,1,"1990, april",1990,
thorvall, (new earth),\/wiki\/thorvall_(new_earth),,good characters,,,male characters,,living characters,1,"1990, september",1990,
ace high, (new earth),\/wiki\/ace_high_(new_earth),,good characters,,,male characters,,living characters,1,"1989, april",1989,
aliaza, (new earth),\/wiki\/aliaza_(new_earth),,good characters,,,female characters,,living characters,1,"1989, august",1989,
ana\u00efs arcane, (new earth),\/wiki\/ana%c3%afs_arcane_(new_earth),public identity,good characters,blue eyes,white hair,female characters,,deceased characters,1,"1989, february",1989,
aniela arcane, (new earth),\/wiki\/aniela_arcane_(new_earth),,neutral characters,,brown hair,female characters,,living characters,1,"1989, february",1989,
assyra, (new earth),\/wiki\/assyra_(new_earth),,,brown eyes,black hair,female characters,,living characters,1,"1989, may",1989,
beast, (new earth),\/wiki\/beast_(new_earth),,good characters,,black hair,male characters,,deceased characters,1,"1989, april",1989,
beau tyler, (new earth),\/wiki\/beau_tyler_(new_earth),public identity,good characters,,,male characters,,living characters,1,"1989, march",1989,
belizar, (new earth),\/wiki\/belizar_(new_earth),,,,,female characters,,living characters,1,"1989, september",1989,
blowhard, (new earth),\/wiki\/blowhard_(new_earth),,good characters,,brown hair,male characters,,living characters,1,"1989, april",1989,
card queen, (new earth),\/wiki\/card_queen_(new_earth),secret identity,good characters,,brown hair,female characters,,living characters,1,"1989, july",1989,
carya, (new earth),\/wiki\/carya_(new_earth),,good characters,brown eyes,black hair,female characters,,living characters,1,"1989, july",1989,
chlorino, (new earth),\/wiki\/chlorino_(new_earth),secret identity,good characters,,black hair,male characters,,living characters,1,"1989, july",1989,
cyborg-87, (new earth),\/wiki\/cyborg-87_(new_earth),public identity,bad characters,,,,,living characters,1,"1989, april",1989,
cyndy kurahara, (new earth),\/wiki\/cyndy_kurahara_(new_earth),public identity,good characters,black eyes,black hair,female characters,,living characters,1,1989,1989,
dana simpson, (new earth),\/wiki\/dana_simpson_(new_earth),,,green eyes,brown hair,female characters,,living characters,1,"1989, december",1989,
diana tyler, (new earth),\/wiki\/diana_tyler_(new_earth),public identity,good characters,,black hair,female characters,,living characters,1,"1989, march",1989,
dinky, (new earth),\/wiki\/dinky_(new_earth),,good characters,,,male characters,,living characters,1,"1989, september",1989,
fatima ii, (new earth),\/wiki\/fatima_ii_(new_earth),,,,black hair,female characters,,living characters,1,"1989, september",1989,
gisa, (new earth),\/wiki\/gisa_(new_earth),,good characters,brown eyes,,female characters,,living characters,1,"1989, june",1989,
grover baines, (new earth),\/wiki\/grover_baines_(new_earth),public identity,good characters,brown eyes,brown hair,male characters,,living characters,1,"1989, june",1989,
gyp, (new earth),\/wiki\/gyp_(new_earth),,good characters,,blond hair,male characters,,living characters,1,"1989, april",1989,
herald ii, (new earth),\/wiki\/herald_ii_(new_earth),secret identity,good characters,,,male characters,,living characters,1,"1989, july",1989,
hippodamia, (new earth),\/wiki\/hippodamia_(new_earth),,good characters,,brown hair,female characters,,living characters,1,"1989, december",1989,
hugh fletcher, (new earth),\/wiki\/hugh_fletcher_(new_earth),,bad characters,,,male characters,,deceased characters,1,"1989, july",1989,
imara, (new earth),\/wiki\/imara_(new_earth),,good characters,brown eyes,,female characters,,deceased characters,1,"1989, june",1989,
inada akatsu, (new earth),\/wiki\/inada_akatsu_(new_earth),public identity,good characters,black eyes,black hair,male characters,,living characters,1,1989,1989,
iota, (new earth),\/wiki\/iota_(new_earth),public identity,bad characters,,black hair,,,living characters,1,"1989, april",1989,
jerrie rathaway, (new earth),\/wiki\/jerrie_rathaway_(new_earth),public identity,,,red hair,female characters,,living characters,1,"1989, november",1989,
kaargl, (new earth),\/wiki\/kaargl_(new_earth),public identity,bad characters,black eyes,,male characters,,deceased characters,1,"1989, may",1989,
kahiri, (new earth),\/wiki\/kahiri_(new_earth),,,,,female characters,,living characters,1,"1989, september",1989,
kradlock, (new earth),\/wiki\/kradlock_(new_earth),public identity,good characters,,,male characters,,living characters,1,"1989, april",1989,
lawless, (new earth),\/wiki\/lawless_(new_earth),,good characters,,brown hair,male characters,,living characters,1,"1989, april",1989,
mazita, (new earth),\/wiki\/mazita_(new_earth),,good characters,,,female characters,,living characters,1,"1989, june",1989,
monmouth, (new earth),\/wiki\/monmouth_(new_earth),public identity,neutral characters,,,male characters,,living characters,1,"1989, may",1989,
ms. terrific, (new earth),\/wiki\/ms._terrific_(new_earth),secret identity,good characters,,red hair,female characters,,living characters,1,"1989, july",1989,
nickels, (new earth),\/wiki\/nickels_(new_earth),,good characters,,grey hair,male characters,,living characters,1,"1989, april",1989,
rachel rathaway, (new earth),\/wiki\/rachel_rathaway_(new_earth),,,blue eyes,red hair,female characters,,living characters,1,"1989, november",1989,
ray carson, (new earth),\/wiki\/ray_carson_(new_earth),,good characters,,brown hair,male characters,,living characters,1,"1989, may",1989,
red mask, (new earth),\/wiki\/red_mask_(new_earth),,bad characters,,,male characters,,deceased characters,1,"1989, january",1989,
rodan katatami, (new earth),\/wiki\/rodan_katatami_(new_earth),public identity,good characters,black eyes,black hair,male characters,,living characters,1,1989,1989,
shiv i, (new earth),\/wiki\/shiv_i_(new_earth),,good characters,,brown hair,male characters,,living characters,1,"1989, april",1989,
squatterbloat, (new earth),\/wiki\/squatterbloat_(new_earth),,bad characters,,,male characters,,living characters,1,"1989, april",1989,
suli, (new earth),\/wiki\/suli_(new_earth),public identity,,,,female characters,,deceased characters,1,"1989, september",1989,
sunburst iv, (new earth),\/wiki\/sunburst_iv_(new_earth),secret identity,good characters,,black hair,male characters,,living characters,1,"1989, september",1989,
syra, (new earth),\/wiki\/syra_(new_earth),public identity,good characters,hazel eyes,blond hair,female characters,,deceased characters,1,"1989, may",1989,
tyr-n, (new earth),\/wiki\/tyr-n_(new_earth),public identity,good characters,,red hair,male characters,,deceased characters,1,"1989, may",1989,
veil, (new earth),\/wiki\/veil_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1989, january",1989,
will jones, (new earth),\/wiki\/will_jones_(new_earth),,bad characters,,blond hair,male characters,,deceased characters,1,"1989, october",1989,
wolfgang teppel, (new earth),\/wiki\/wolfgang_teppel_(new_earth),public identity,bad characters,,,male characters,,deceased characters,1,"1989, october",1989,
zaharra, (new earth),\/wiki\/zaharra_(new_earth),,good characters,,brown hair,female characters,,deceased characters,1,"1989, june",1989,
abe crane, (new earth),\/wiki\/abe_crane_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,living characters,1,"1988, december",1988,
abednego danner, (new earth),\/wiki\/abednego_danner_(new_earth),public identity,neutral characters,blue eyes,black hair,male characters,,deceased characters,1,"1988, march",1988,
blathoxi, (new earth),\/wiki\/blathoxi_(new_earth),,bad characters,,black hair,,,living characters,1,"1988, march",1988,
blockhouse i, (new earth),\/wiki\/blockhouse_i_(new_earth),,bad characters,,,,,living characters,1,"1988, march",1988,
egeria, (new earth),\/wiki\/egeria_(new_earth),,good characters,,,female characters,,deceased characters,1,1988,1988,
fist of allah, (new earth),\/wiki\/fist_of_allah_(new_earth),secret identity,bad characters,,,male characters,,living characters,1,"1988, march",1988,
hemo-goblin, (new earth),\/wiki\/hemo-goblin_(new_earth),public identity,bad characters,white eyes,,male characters,,deceased characters,1,"1988, september",1988,
holocaust, (new earth),\/wiki\/holocaust_(new_earth),,bad characters,,,male characters,,living characters,1,"1988, march",1988,
